model_name,checkpoint,num_samples,loss,top1_accuracy,top5_accuracy,clip_len,size,fusion_depth,fusion_strategy
multimodal_V4_Patience10_8f_tiny_v_pretrainedBB__s_pretrained_fm_4_fs_average_2e-4_0.01_no_jitter,epoch14_top1_75.27_top1V_63.05.pth,105,0.9859534746124631,62.857142857142854,100.0,8,tiny,4,average
multimodal_V4_Patience10_8f_tiny_v_pretrainedBB__s_pretrained_fm_1_fs_average_2e-4_0.01_no_jitter,epoch32_top1_96.31_top1V_67.03.pth,105,1.6169245763726177,61.904761904761905,99.04761904761905,8,tiny,1,average
multimodal_V4_Patience10_8f_small_v_pretrainedBB__s_pretrained_fm_1_fs_average_2e-4_0.01_no_jitter,epoch18_top1_87.09_top1V_72.12.pth,105,1.4207404526571432,60.95238095238095,97.14285714285714,8,small,1,average
multimodal_V4_Patience10_8f_small_v_pretrainedBB__s_pretrained_fm_4_fs_weighted_2e-4_0.01_no_jitter,epoch33_top1_98.57_top1V_72.94.pth,105,2.0382705986765877,60.95238095238095,97.14285714285714,8,small,4,weighted
multimodal_V4_Patience10_8f_small_v_pretrainedBB__s_pretrained_fm_1_fs_context_2e-4_0.01_no_jitter,epoch30_top1_97.75_top1V_69.92.pth,105,2.5439614449938137,60.0,98.0952380952381,8,small,1,context
multimodal_V4_Patience10_8f_tiny_v_pretrainedBB__s_pretrained_fm_4_fs_weighted_2e-4_0.01_no_jitter,epoch47_top1_98.77_top1V_71.02.pth,105,2.058074369742757,58.095238095238095,98.0952380952381,8,tiny,4,weighted
multimodal_V4_Patience10_8f_medium_v_pretrainedBB__s_pretrained_fm_4_fs_average_2e-4_0.01_no_jitter,epoch37_top1_97.95_top1V_66.90.pth,105,2.4836961632683163,58.095238095238095,96.19047619047619,8,medium,4,average
multimodal_V4_Patience10_8f_tiny_v_pretrainedBB__s_pretrained_fm_1_fs_weighted_2e-4_0.01_no_jitter,epoch14_top1_82.17_top1V_62.09.pth,105,1.031354302451724,58.095238095238095,99.04761904761905,8,tiny,1,weighted
multimodal_V4_Patience10_8f_medium_v_pretrainedBB__s_pretrained_fm_4_fs_new_2e-4_0.01_no_jitter,epoch26_top1_86.95_top1V_68.96.pth,105,1.4953227593430451,57.142857142857146,98.0952380952381,8,medium,4,new
multimodal_V4_Patience10_8f_tiny_v_pretrainedBB__s_pretrained_fm_4_fs_context_2e-4_0.01_no_jitter,epoch48_top1_99.80_top1V_62.91.pth,105,2.1387339281273032,56.19047619047619,98.0952380952381,8,tiny,4,context
